"","Estado","Registros","Ano","Mês","Região"
"118","Maranhão",22128,"2019","Todos","Todas"
"119","Mato Grosso",14806,"2019","Todos","Todas"
"120","Mato Grosso do Sul",16293,"2019","Todos","Todas"
"121","Minas Gerais",128441,"2019","Todos","Todas"
"122","Pará",26820,"2019","Todos","Todas"
"123","Paraíba",27151,"2019","Todos","Todas"
"124","Paraná",71380,"2019","Todos","Todas"
"125","Pernambuco",62072,"2019","Todos","Todas"
"126","Piauí",14754,"2019","Todos","Todas"
"127","Rio de Janeiro",146994,"2019","Todos","Todas"
"128","Rio Grande do Norte",17299,"2019","Todos","Todas"
"129","Rio Grande do Sul",90002,"2019","Todos","Todas"
"130","Rondônia",7970,"2019","Todos","Todas"
"131","Roraima",2347,"2019","Todos","Todas"
"132","Santa Catarina",42199,"2019","Todos","Todas"
"133","São Paulo",312252,"2019","Todos","Todas"
"134","Sergipe",12872,"2019","Todos","Todas"
"135","Tocantins",6040,"2019","Todos","Todas"
"136","Acre",3947,"2020","Todos","Todas"
"137","Alagoas",17139,"2020","Todos","Todas"
"138","Amapá",2692,"2020","Todos","Todas"
"139","Amazonas",15743,"2020","Todos","Todas"
"140","Bahia",72433,"2020","Todos","Todas"
"141","Ceará",45677,"2020","Todos","Todas"
"142","Distrito Federal",15354,"2020","Todos","Todas"
"143","Espírito Santo",23778,"2020","Todos","Todas"
"144","Goiás",35077,"2020","Todos","Todas"
"145","Maranhão",23489,"2020","Todos","Todas"
"146","Mato Grosso",15560,"2020","Todos","Todas"
"147","Mato Grosso do Sul",14986,"2020","Todos","Todas"
"148","Minas Gerais",119613,"2020","Todos","Todas"
"149","Pará",28228,"2020","Todos","Todas"
"150","Paraíba",24162,"2020","Todos","Todas"
"151","Paraná",62562,"2020","Todos","Todas"
"152","Pernambuco",59767,"2020","Todos","Todas"
"153","Piauí",11663,"2020","Todos","Todas"
"154","Rio de Janeiro",138918,"2020","Todos","Todas"
"155","Rio Grande do Norte",16020,"2020","Todos","Todas"
"156","Rio Grande do Sul",76136,"2020","Todos","Todas"
"157","Rondônia",7925,"2020","Todos","Todas"
"158","Roraima",2451,"2020","Todos","Todas"
"159","Santa Catarina",37034,"2020","Todos","Todas"
"160","São Paulo",299032,"2020","Todos","Todas"
"161","Sergipe",11902,"2020","Todos","Todas"
"162","Tocantins",5830,"2020","Todos","Todas"
